name	wt 15' 0.4M - wt 0
YDR533C	1.5282152157
YPL148C	1.5275348641
YPL225W	1.5275019074
YJL048C	1.5258812708
YNL020C	1.5249908529
YGL104C	1.5239137146
YKL023W	1.5238902392
YGR206W	1.5229481968
YJL185C	1.5179430959
YGL180W	1.5176543074
YJR009C	1.5164932541
YBR114W	1.5149292428
YHL028W	1.5147431277
YDR050C	1.5141144887
YGR087C	1.5120081809
YIL105C	1.5117493489
YML129C	1.5113021853
YOR137C	1.5111294676
YIR039C	1.5109933931
YGR225W	1.5105559151
YDR077W	1.5091801691
YPR070W	1.5080422623
YNL007C	1.5051701524
YGR192C	1.5035058247
YLR194C	1.5033401241
YGL175C	1.5028132329
YIL048W	1.5027660887
YPL222W	1.5013231979
YOL143C	1.5010313236
YBR014C	1.500671772
YPR154W	1.5003678349
YHR132W-A	1.4984073146
YFL003C	1.4980505116
YDL133C-A	1.4979013109
YGR250C	1.497473726
YBR149W	1.4946346654
YOR003W	1.4926980196
YJL165C	1.4923864466
YPL064C	1.4918259122
YFL052W	1.4908403429
YEL060C	1.4884463887
YLR038C	1.486344449
YMR164C	1.4836317237
YBR297W	1.4832905947
YBL103C	1.4829073454
YPL201C	1.4828955103
YPL165C, YPL164C	1.4797525308
YBR118W	1.478395751
YMR204C	1.4776444069
YBR112C	1.4773831738
YPL005W	1.4769869474
YLR165C	1.4768764805
YJR108W	1.4699499237
YHL020C	1.4691542082
YGL222C	1.4679791039
YBR165W	1.4676806951
YHR004C	1.4650746927
YBR148W	1.4647630865
YOL127W	1.462517298
YML053C	1.4610887221
YGR111W	1.4610878819
YEL072W	1.4602311094
YGR238C	1.4600395635
YPL100W	1.4587982584
YDL239C	1.4568572443
YDR051C	1.4567397651
YCL004W	1.4564121499
YLR075W	1.4560707166
YPL070W	1.4556408071
YMR160W	1.4555756398
YOL055C	1.4553852243
YJR102C	1.4553093367
YMR315W	1.4545555883
YGR117C	1.451964539
YAL054C	1.4499746305
YOR223W	1.448060236
YOR148C	1.4474040372
YDR512C	1.4470026143
YBR280C	1.4465530091
YPL154C	1.4462431804
YFR046C	1.4461193539
YKL086W	1.445517125
YLR396C	1.4452269065
YBR119W	1.4432216784
YPR080W	1.4430670337
YOR357C	1.4428297046
YJL052W	1.4414417087
YOL121C	1.4414102244
YDL175C	1.4399728423
YDR461C-A	1.438920116
YPR132W	1.4388855814
YER143W	1.4376801084
YDL200C	1.4375998249
YCR005C	1.435853316
YKL059C	1.4354612381
YBR264C	1.4354324959
YMR304W	1.4351904461
YGR046W	1.4310347044
YNR010W	1.4298934385
YML003W, YML002W	1.4271731026
YDR073W	1.4271072609
YFR045W	1.4260509254
YOL082W	1.4227429265
YJL179W	1.4221834988
YHR092C	1.4215858875
YKL187C	1.4214668771
YDR231C	1.4180417715
YBL075C, YBL074C	1.4180374485
YOR094W	1.4178510543
YML127W	1.4159365769
YAL032C	1.4150913301
YCL035C	1.4142358114
YMR110C	1.4137962041
YBL081W	1.4127832343
YGL059W	1.4126426449
YBR035C	1.4062036824
YML041C	1.4059010289
YDR098C	1.4052882417
YDR061W	1.4039483744
YOR284W	1.4034176624
YBR212W	1.4033720738
YDR018C	1.4011027591
YIL148W	1.4003959184
YPR127W	1.3997359937
YMR072W	1.399501905
YDL181W	1.3960881077
YNL149C	1.3955403917
YMR152W	1.3954101908
YKL160W	1.3952702991
YBR037C	1.3936977581
YDR169C	1.391259412
YLR408C	1.3907468339
YMR181C	1.3889929331
YER142C	1.3887478582
YDL076C	1.3875767876
YER046W	1.3875744361
YER101C	1.3873806203
YBR230W-A	1.3870304879
YDR014W-A	1.3865180171
YNL006W	1.385222463
YKR039W	1.384569302
YLR133W	1.3835798415
YOR285W	1.3817344841
YDR222W	1.3799264593
