ensembl_transcript_id	ensembl_gene_id	external_gene_name
ENST00000203166	ENSG00000249115	HAUS5
ENST00000203407	ENSG00000010256	UQCRC1
ENST00000203556	ENSG00000089639	GMIP
ENST00000203629	ENSG00000089692	LAG3
ENST00000203630	ENSG00000089693	MLF2
ENST00000203664	ENSG00000089723	OTUB2
ENST00000204517	ENSG00000090447	TFAP4
ENST00000204566	ENSG00000090487	SPG21
ENST00000204604	ENSG00000090539	CHRD
ENST00000204615	ENSG00000090534	THPO
ENST00000204679	ENSG00000090581	GNPTG
ENST00000204961	ENSG00000090776	EFNB1
ENST00000205061	ENSG00000090863	GLG1
ENST00000205194	ENSG00000090971	NAT14
ENST00000205214	ENSG00000157426	AASDH
ENST00000205386	ENSG00000091128	LAMB4
ENST00000205402	ENSG00000091140	DLD
ENST00000205557	ENSG00000091262	ABCC6
ENST00000205636	ENSG00000091317	CMTM6
ENST00000205890	ENSG00000091536	MYO15A
ENST00000205948	ENSG00000091583	APOH
ENST00000206020	ENSG00000091640	SPAG7
ENST00000206423	ENSG00000091986	CCDC80
ENST00000206451	ENSG00000092010	PSME1
ENST00000206513	ENSG00000092067	CEBPE
ENST00000206542	ENSG00000092094	OSGEP
ENST00000206544	ENSG00000092096	SLC22A17
ENST00000206595	ENSG00000092140	G2E3
ENST00000206765	ENSG00000092295	TGM1
ENST00000207457	ENSG00000092850	TEKT2
ENST00000207549	ENSG00000092929	UNC13D
ENST00000207870	ENSG00000093217	XYLB
ENST00000209540	ENSG00000094661	OR1I1
ENST00000209668	ENSG00000187758	ADH1A
ENST00000209718	ENSG00000108244	KRT23
ENST00000209728	ENSG00000094804	CDC6
ENST00000209873	ENSG00000094914	AAAS
ENST00000209875	ENSG00000094916	CBX5
ENST00000209884	ENSG00000076321	KLHL20
ENST00000209929	ENSG00000094963	FMO2
ENST00000210060	ENSG00000095059	DHPS
ENST00000210187	ENSG00000167964	RAB26
ENST00000210313	ENSG00000095261	PSMD5
ENST00000210444	ENSG00000095380	NANS
ENST00000210633	ENSG00000095539	SEMA4G
ENST00000211076	ENSG00000095917	TPSD1
ENST00000211122	ENSG00000174156	GSTA3
ENST00000211287	ENSG00000156711	MAPK13
ENST00000211314	ENSG00000096092	TMEM14A
ENST00000211413	ENSG00000204314	PRRT1
ENST00000211998	ENSG00000035403	VCL
ENST00000212015	ENSG00000096717	SIRT1
ENST00000214869	ENSG00000099203	TMED1
ENST00000215057	ENSG00000099326	MZF1
ENST00000215061	ENSG00000099330	OCEL1
ENST00000215071	ENSG00000099341	PSMD8
ENST00000215095	ENSG00000099365	STX1B
ENST00000215115	ENSG00000099385	BCL7C
ENST00000215368	ENSG00000099617	EFNA2
ENST00000215479	ENSG00000099721	AMELY
ENST00000215530	ENSG00000070388	FGF22
ENST00000215531	ENSG00000095932	SMIM24
ENST00000215539	ENSG00000099769	IGFALS
ENST00000215565	ENSG00000099795	NDUFB7
ENST00000215567	ENSG00000099797	TECR
ENST00000215570	ENSG00000099800	TIMM13
ENST00000215574	ENSG00000099804	CDC34
ENST00000215582	ENSG00000099812	MISP
