gene	comName	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	stressGene	mutantDep	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
1907	YGR079W		2.96659197843163	7.07442459093892e-19	-2.6886182155369	0.280001882776844	2.07974063193939e-09	1	Downregulated	Less downregulated	291.350396323914	1293.41863422855	151.21294272991	1333.24131099702	1746.11933078206	1698.03709566458	1494.88023264736	220.523145728006	1468.70078125018	1844.44808324314	1242.64803041294	1657.58160693917
1914	YGR086C	PIL1	-1.76410539706998	1.66803578759897e-06	2.57551191063246	0.807637380305559	1.66635694899253e-15	1	Upregulated	Less upregulated	63858.4505585753	8527.77672978336	52973.1810761728	8587.7449457693	17059.1819718471	12448.6124721674	10131.6428737987	49804.2140663053	9025.77761459542	17966.6920658409	7199.25435010976	15002.8579748534
1915	YGR087C	PDC6	-2.13218020682212	0.00684969686892353	2.34602527237048	0.214349002768967	0.00563216611644243	1	Upregulated	Less upregulated	70.5224675698472	18.3898384013538	106.506507488023	27.8483824751335	33.814037605247	12.1985423539122	24.2360608405863	113.780559232003	12.3810392518456	24.1812813806741	27.0140876176726	22.2693453686409
1916	YGR088W	CTT1	-5.19485266969913	1.52566089844844e-101	8.0149846377469	2.81701510790633	0	1.86795019740693e-30	Upregulated	Less upregulated	43203.2033903401	149.162022588759	42354.0878110706	130.539292852188	1283.99415017702	195.176677662596	174.499638052221	41836.0559336971	164.048770086954	1135.6863876027	158.225370332083	1009.54365671172
1932	YGR103W	NOP7	0.681355753410419	0.776997271013728	-2.62826210029428	-1.94851722963291	6.98480050979426e-10	8.36566815030934e-14	Downregulated	-	946.710701013404	4045.76444829785	558.83044052358	4023.22100570445	1128.07386566393	5034.33842945958	4602.91267484415	604.092659840016	4293.12536057745	1105.6682451991	4707.20476737946	1374.76092075743
1944	YGR110W	CLD1	-0.454943950682568	1	2.10983983578644	1.65017927087507	0.000958309744999242	0.130102609918596	Upregulated	-	193.758698777762	61.2994613378462	236.681127751163	62.6588605690504	153.102448045979	31.7162101201718	44.5943519466788	286.210891264007	58.8099364462665	118.404895036404	34.7323983655791	144.750744896166
1956	YGR121C	MEP1	-0.200147548819312	1	2.19580414389488	1.99640805194781	0.000670661150736584	3.06750424406746e-10	Upregulated	-	611.907067095947	171.638491745969	1063.75017972606	189.717105611847	813.415460170663	231.772304724332	155.110789379752	1019.33305126403	258.454194382276	907.214970419774	182.34509141929	708.90749423507
1958	YGR122W		-0.736016166832135	0.74769616704846	1.95501389934213	1.21219723996728	0.00670188103792444	0.659863800726056	Upregulated	-	1386.941862207	322.843829712656	1090.04808280952	406.41233174648	866.015074223269	351.318019792672	410.07414942272	1189.41739238403	199.64425793601	961.414394204044	356.971872090674	791.304072099041
1966	YGR127W		-1.64368551963714	1.81522423602486e-09	2.52214809464247	0.869581243174801	6.78178776153417e-12	1	Upregulated	Less upregulated	1310.00826122171	255.414422241026	1333.30368633155	298.499849655337	579.535033401038	308.623121553979	248.177263007604	1348.94477440003	181.072699058241	540.326563264718	265.316931959285	493.637155671541
1967	YGR128C	UTP8	0.288358065981011	1	-1.97679531774291	-1.68958373012588	0.0026304630306962	1.8717417899394e-05	Downregulated	-	716.622246214811	2354.92097306226	564.090021140272	3447.10759325012	790.872768433832	3322.88293720569	3111.91021193128	554.826850688014	1686.91659806396	1220.73779107955	2904.9792077433	1021.42064090833
