gene	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
YJR154W	0.44348658041323	1	0.144428327499308	0.583954389718601	1	1	62.6866378398642	45.9745960033846	53.9107013210983	53.9562410455712	77.9601422565416	85.3897964773856	74.6470673890058	64.5147500800017	40.2383775684981	117.571057747416	67.5352190441816	115.058284404645
YJR155W	0.271867936530624	1	0.189875383180759	0.456978543694731	1	1	86.9064751870845	71.5160382274872	92.042660792119	73.9722659495734	109.895622217053	112.226589655992	80.4637219907465	82.1096819200021	74.2862355110734	105.063498412584	46.3098644874388	105.4082347449
YJR156C	0.623881981400799	1	-0.918371231246318	-0.315445141975186	1	1	6.41113341544066	17.3681807123897	6.57447577086564	29.5889063798294	25.3605282039352	28.0566474139981	22.2971759733394	21.1139182080005	23.2144485972104	19.1782576467415	28.9436653046493	25.9809029300811
YJR157W	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
YJR158W	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
YJR159W	-3.39860285730609	NA	0.623906341853499	-2.77955788193302	1	1	0.712348157271184	0	0	0	0	1.21985423539122	0.969442433623452	1.17299545600003	0	0	1.92957768697662	0
YJR160C	-0.281156841069901	1	0.874747274719408	0.575096072313647	1	1	5.69878525816947	4.08663075585641	17.0936370042507	3.48104780939169	4.69639411183986	4.87941694156489	7.75553946898761	14.0759454720004	7.73814953240348	8.33837288988763	3.85915537395323	5.19618058601622
YJR161C	-1.34377630791965	0.558895487319288	0.434011955246261	-0.925639884565981	1	1	17.0963557745084	36.7796768027077	51.280911012752	35.6807400462648	21.6034129144633	26.8367931786069	18.4194062388456	44.5738273280012	26.3097084101718	14.175233912809	41.4859202699973	20.0424108317768
YJR162C	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
YKL225W	1.48340169490928	NA	0.776011212882283	2.24885295757075	NA	1	0.712348157271184	0	0	0	1.87855764473594	0	0	0	0	0.833837288988763	0	0
YKL224C	1.81130590430484	NA	-1.13576152846781	0.671658886340453	NA	1	0	1.0216576889641	0	0	0.939278822367971	0	0	0	0	0	0	0
YKL223W	-1.06218410511969	NA	0.776011212882283	NA	NA	NA	0.712348157271184	0	0	0	0	0	0	0	0	0	0	0
YKL222C	-0.431973205767036	1	-0.353168871390967	-0.787506527314524	1	1	326.967804187474	401.511471762892	260.349240526279	509.103242123535	261.119512618296	507.459361922749	455.637943803022	389.43449139201	377.62169718129	301.849098613932	520.985975483687	337.009426578766
YKL221W	-0.731331512903842	1	0.109186714934773	-0.643774114572121	1	1	5.69878525816947	19.411496090318	24.9830079292894	19.1457629516543	12.2106246907836	12.1985423539122	4.84721216811726	11.7299545600003	13.9286691583263	12.5075593348314	16.4014103393012	6.68080361059228
YKL220C	-0.548891186286946	1	0.535038688289836	-0.0253070222371117	1	1	67.6730749407625	109.317372719159	157.787418500775	106.171958186447	92.9886034144292	81.7302337712119	79.494279557123	178.295309312005	85.1196448564383	90.8882644997752	104.197195096737	107.635169281765
YKL219W	0.0603989731396585	1	-0.346835774149026	-0.293616301528393	1	1	422.422457261812	934.816785402154	723.192334795221	737.982135591038	634.013205098381	601.388138047873	599.115423979293	882.092582912023	1019.88810837078	544.495749709662	808.493050843203	599.045390416441
YKL218C	-0.263708923947078	1	0.77797908517165	0.512108945815902	1	1	460.889257754456	249.284476107241	406.302602639497	333.310327749254	502.514169966865	470.863734861012	279.199420883554	516.118000640013	270.835233634122	562.840170067415	327.063417942537	561.187503289752
YKL217W	-0.36583172319772	1	0.811149850579034	0.440001811396805	1	1	99.7287420179658	83.7759304950564	159.102313654949	68.7506942354859	83.5958151907494	34.1559185909542	78.5248371234996	197.063236608005	94.4054242953225	80.88221703191	92.6197289748776	106.150546257188
YKL216W	0.469273561884547	1	-1.30036480399508	-0.835288604867966	0.588996843084955	1	3208.41610034941	8509.38689138201	3226.75270834086	8767.88916990532	4959.39218210289	9070.83609436913	7776.86720252733	3918.9778184961	8971.6105678686	4684.49788953887	7511.84593539997	4741.88594049594
YKL215C	-0.308478886065493	1	0.0154455671019578	-0.29791746482183	1	1	757.93843933654	1054.35073501095	1083.47360703866	1153.96734881335	870.711468335109	1160.08137785705	790.095583403113	992.354155776026	930.125573794898	984.761838295729	1052.58462824574	915.270094651143
YKL214C	-0.32677330927773	1	-0.366086812324771	-0.694953413411057	1	1	965.944101259726	892.928820154626	674.541214090815	956.417885630367	634.952483920749	1077.13128985045	1189.50586605598	708.489255424018	917.744534543053	610.368895539774	869.274747982966	569.35292992492
YKL213C	-0.43636279351203	1	0.594954905173369	0.155796468856361	1	1	1579.27586467022	882.712243264985	1341.19305725659	991.228363724284	1077.35280925606	1178.37919138792	1065.41723455217	1408.76754265604	889.8871962264	1232.41151312539	941.633911244589	1193.63691175915
YKL212W	-0.419850252685593	1	-0.628485889174088	-1.05228489779439	1	1	2487.51976519098	3717.81233014037	2418.09218852438	4118.07955851037	2023.20658338061	4531.75848447839	3933.99739564397	2905.50974451208	4310.14928954874	1929.49948672	3730.83845776929	2090.3492186031
