name	comName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGR122C-A		21.0165183670156	0.0393103135680696	0.191790201918726	0	1	1
tR(UCU)G3		7.37147741798366	0.0632933399872956	0.170752566261461	0	1	1
YGR123C	PPT1	2999.85310582612	0.299134815341724	0.145354359298762	0	1	1
tI(AAU)G		2.36263439227544	0.128183683712911	0.119441843553746	0	1	1
YGR124W	ASN2	13440.6821724575	0.00443759320031958	0.156433220794204	0	1	1
YGR125W		1337.81906704734	-0.0208604828235916	0.163168586803315	0	1	1
YGR126W		65.3727481990109	0.543404942759127	0.186888160115474	0	1	1
YGR127W		240.680346871932	0.266918036128227	0.158521230070185	0	1	1
YGR128C	UTP8	2599.40848960188	0.333723156538147	0.165520652087695	0	1	1
YGR129W	SYF2	260.602604420908	-0.0304055033669425	0.159037133346312	0	1	1
YGR130C		234.490090160388	0.323027391911091	0.157763519378827	0	1	1
YGR131W	FHN1	85.0282717333861	0.0814166769482083	0.180959540406503	0	1	1
YGR132C	PHB1	1485.45186159551	0.0268939915973322	0.147578387026424	0	1	1
YGR133W	PEX4	398.99452045673	0.16941149782805	0.142112118356795	0	1	1
YGR134W	CAF130	830.58450377884	0.275256632420765	0.146694425808679	0	1	1
YGR135W	PRE9	2485.7750966105	-0.0706439087663868	0.121177038827836	0	1	1
YGR136W	LSB1	1276.85554254279	-0.134566880058543	0.161138160354575	0	1	1
YGR137W		136.263077528255	-0.115296623914159	0.198691281190192	0	1	1
YGR138C	TPO2	71.9293736281591	-0.988168369766764	0.192766630015885	0	1	1
YGR139W		7.63574627506143	0.0787594961880192	0.167537831669209	0	1	1
YGR140W	CBF2	501.57134427153	0.0488634305811989	0.148051686022483	0	1	1
YGR141W	VPS62	388.598443609434	0.116989806430434	0.174146194831192	0	1	1
YGR142W	BTN2	143.631230002783	0.145979406744334	0.165124404155748	0	1	1
tA(AGC)G		0	NA	NA	NA	NA	NA
YGR143W	SKN1	1066.67312755497	0.0253118149508923	0.14726751499752	0	1	1
tG(UCC)G	SUF4	0	NA	NA	NA	NA	NA
YGR144W	THI4	51.2234395673084	-0.543218103456804	0.198905929183436	0	1	1
YGR145W	ENP2	2182.05108598367	0.252734059220774	0.145640589077164	0	1	1
YGR146C	ECL1	1028.37220009076	-0.0632511816037017	0.144311028319761	0	1	1
YGR146C-A		31.9706208471771	-0.565453579075392	0.200126224831313	0	1	1
YGR147C	NAT2	687.15030793721	-0.135019968385434	0.146495894919575	0	1	1
YGR148C	RPL24B	8235.98401897003	-0.443187868427764	0.137367413828293	0	1	1
YGR149W		549.080276009695	-0.421351104913354	0.176853192367125	0	1	1
YGR150C	CCM1	331.231587021456	0.120030121495629	0.165542725679673	0	1	1
tA(UGC)G		0.14821457704505	-0.0111132100624961	0.0389053605439883	0	1	1
YGR151C		1.77768599047766	-0.011546981202752	0.0986542169478161	0	1	1
YGR152C	RSR1	275.312678397424	0.263942506352269	0.149622908537189	0	1	1
YGR153W		51.9452662766261	0.148056803512117	0.193155661035332	0	1	1
YGR154C	GTO1	201.084971330885	-0.0610486597307352	0.162594979918195	0	1	1
YGR155W	CYS4	15569.0022415906	-0.0598849928625025	0.11807288943904	0	1	1
YGR156W	PTI1	490.246292221345	0.0682626190539291	0.136331716474258	0	1	1
YGR157W	CHO2	10602.9253985335	-0.303539025620403	0.169545040541134	0	1	1
YGR158C	MTR3	666.088398841928	-0.107381519531438	0.14962501379603	0	1	1
YGR159C	NSR1	16407.3331638172	0.092752630345413	0.15085906376402	0	1	1
YGR160W		4.48955631692548	-0.0438608560670271	0.145376979749408	0	1	1
YGR161C	RTS3	234.38012511523	0.0188628552482992	0.170641796969966	0	1	1
YGR161W-C		102.412196771851	-0.217796952688854	0.183900317651888	0	1	1
YGR161W-A		0	NA	NA	NA	NA	NA
YGR161W-B		0.455103089470467	0.0418762775281592	0.0516156168072238	0	1	1
YGR161C-D		35.0657617469282	0.270776651945683	0.197622476332878	0	1	1
YGR161C-C		0	NA	NA	NA	NA	NA
tV(AAC)G2		1.00505473180285	-0.0107443763658696	0.0835509614597955	0	1	1
YGR162W	TIF4631	4285.94087951847	0.0872310371344478	0.111330791350441	0	1	1
YGR163W	GTR2	657.570718119417	0.206795801024007	0.149718049320988	0	1	1
YGR164W		13.4273423640684	-0.084924808270965	0.193486267813791	0	1	1
tR(UCU)G2		55.970695193049	-0.350368339526934	0.200176155688117	0	1	1
YGR165W	MRPS35	627.652826886494	0.0778731290358614	0.149874602408334	0	1	1
YGR166W	TRS65	728.240531231984	-0.0389654117031718	0.174019917105531	0	1	1
YGR167W	CLC1	1552.86755255753	-0.0202772047381001	0.138489351270363	0	1	1
YGR168C		279.059997505393	-0.0716581137900525	0.159079392465625	0	1	1
YGR169C	PUS6	325.024900855283	-0.0519370767782794	0.153748156517639	0	1	1
YGR169C-A	LSO2	352.974558456976	0.152902483996973	0.178503319462711	0	1	1
YGR170W	PSD2	490.635091394357	0.455101001857085	0.14467677170894	0	1	1
YGR171C	MSM1	301.75724487303	0.203006296816593	0.150186896353778	0	1	1
YGR172C	YIP1	1156.2396276988	-0.125118779572839	0.183641037859524	0	1	1
YGR173W	RBG2	784.175972398337	-0.0192426571812868	0.124362552975981	0	1	1
tG(GCC)G1		2.43036584562707	0.0203608253085018	0.105286863120407	0	1	1
YGR174C	CBP4	145.093334911045	-0.234261557601786	0.164697267855419	0	1	1
YGR174W-A		2.21220787891734	-0.0994148153471811	0.104033032717145	0	1	1
YGR175C	ERG1	10219.2887221658	-0.229795046161164	0.164927365761849	0	1	1
YGR176W		1.52460677018439	-0.093775644096015	0.0936573061265314	0	1	1
YGR177C	ATF2	931.988128689861	-0.0644177777411281	0.141667892926147	0	1	1
YGR178C	PBP1	1658.18714203563	-0.0496103627248328	0.126187746924134	0	1	1
YGR179C	OKP1	149.839251104997	-0.16118640873714	0.185106868310346	0	1	1
YGR180C	RNR4	10791.6210591235	0.260826578061349	0.123593658636877	0	1	1
tL(CAA)G3		0	NA	NA	NA	NA	NA
YGR181W	TIM13	936.026584351294	-0.135370530681937	0.142551456064416	0	1	1
