ensembl_gene_id	external_gene_name	log2FoldChange	lfcSE	padj	stressType
YNL101W	AVT4	0.442896527156553	0.0943087917159288	1	unresponsive
YNL102W	POL1	-1.85058918465103	0.135978907501003	3.00310653197022e-09	downregulated
YNL103W	MET4	-0.184507225420456	0.0732258710852675	1	unresponsive
YNL103W-A		0.460648443947052	0.354063725589693	1	unresponsive
YNL104C	LEU4	-0.280700208677399	0.107739957562821	1	unresponsive
YNL105W	RRT16	0.459738038281558	0.294091363143726	1	unresponsive
YNL106C	INP52	0.820665446892692	0.057880912939287	1	unresponsive
YNL107W	YAF9	0.409850787032346	0.0972210883959365	1	unresponsive
YNL108C		0.135620187787114	0.0702511870527287	1	unresponsive
YNL109W		0.286188847002517	0.17157749158262	1	unresponsive
YNL110C	NOP15	-4.05183825643534	0.192307138967029	2.31031224384824e-55	downregulated
YNL111C	CYB5	-2.15085377734402	0.0691249522096326	7.75160523321175e-61	downregulated
YNL112W	DBP2	-3.73047126225294	0.252228910825721	3.28800851061228e-26	downregulated
YNL113W	RPC19	-2.8680592973276	0.0761416275437477	4.2596930453758e-131	downregulated
YNL114C		-0.35474149733679	0.340062093092326	1	unresponsive
YNL115C		1.94176238561454	0.0951895154867123	4.93535161541796e-22	upregulated
YNL116W	DMA2	-0.174946364878635	0.0657991744029957	1	unresponsive
YNL117W	MLS1	1.27445355724165	0.148878842339881	0.294264103641425	unresponsive
YNL118C	DCP2	0.380705413619233	0.0679327553068579	1	unresponsive
YNL119W	NCS2	-2.55860691323039	0.142501233970617	9.82952305999217e-27	downregulated
YNL120C		-0.786458563045341	0.499109211049458	1	unresponsive
YNL121C	TOM70	-0.351001190889484	0.0690306452034238	1	unresponsive
YNL122C		-0.0297538707940879	0.110160839269269	1	unresponsive
YNL123W	NMA111	-1.1258970867849	0.063083100278684	0.211656254384583	unresponsive
YNL124W	NAF1	-2.24291100798135	0.0825600950761739	6.79708278725125e-50	downregulated
YNL125C	ESBP6	1.44403549699082	0.118922967810171	0.00108976248242824	upregulated
YNL126W	SPC98	-1.16829218394396	0.0849033348419245	0.218106591940558	unresponsive
YNL127W	FAR11	0.383503627617103	0.0584305712760126	1	unresponsive
YNL128W	TEP1	0.818870377432713	0.098287185761266	1	unresponsive
YNL129W	NRK1	-0.589094043545944	0.132506909959194	1	unresponsive
YNL130C	CPT1	-0.0307258940599146	0.119411146112718	1	unresponsive
YNL130C-A	DGR1	0.366969324102388	0.300898957547674	1	unresponsive
YNL131W	TOM22	-0.342443840479765	0.0697261465073945	1	unresponsive
YNL132W	KRE33	-4.50800324401947	0.15627901483461	6.60501299230423e-110	downregulated
YNL133C	FYV6	0.340211715431186	0.13752415300647	1	unresponsive
YNL134C		0.77313645679746	0.0886599735205771	1	unresponsive
YNL135C	FPR1	-0.18889575888691	0.0908635944938803	1	unresponsive
YNL136W	EAF7	-0.344344417395287	0.154597712284721	1	unresponsive
YNL137C	NAM9	0.0792738678045537	0.0621896789606838	1	unresponsive
YNL138W	SRV2	0.373990644859591	0.0563048986132689	1	unresponsive
YNL138W-A	YSF3	-0.266122518648287	0.0917412912671227	1	unresponsive
YNL139C	THO2	-0.0555764066174915	0.0978158254016993	1	unresponsive
YNL140C		0.000236438272088853	0.311433468042968	1	unresponsive
YNL141W	AAH1	-4.00084651152154	0.332957048405237	2.04491917212868e-18	downregulated
YNL142W	MEP2	-0.121007056522564	0.110600670864938	1	unresponsive
YNL143C		0.332227896118933	0.107167745966024	1	unresponsive
YNL144C		1.1265266994274	0.0836747254393749	0.560770681837805	unresponsive
YNL144W-A		1.22803553478801	0.46998793988458	1	unresponsive
YNL145W	MFA2	-2.61124756599421	0.10237014086828	1.81664746784244e-54	downregulated
YNL146C-A		-1.37581843945593	0.120687658759257	0.0099943671010343	downregulated
YNL146W		0.641266499424008	0.250549469322633	1	unresponsive
YNL147W	LSM7	-0.723587213943088	0.0895359992999419	1	unresponsive
YNL148C	ALF1	-0.523273245928691	0.0903078648978437	1	unresponsive
YNL149C	PGA2	-0.813219302472525	0.0592250216752005	1	unresponsive
YNL150W		0.0888325369444851	0.366944511682477	1	unresponsive
YNL151C	RPC31	-2.76844038095783	0.0785999512738026	2.09918399817591e-110	downregulated
YNL152W	INN1	0.242094278248311	0.0620071333099195	1	unresponsive
YNL153C	GIM3	-0.517180455959613	0.0698891534753903	1	unresponsive
YNL154C	YCK2	-0.104558513319253	0.0526928632962056	1	unresponsive
YNL155W	CUZ1	1.02384819502944	0.0882544276903075	1	unresponsive
YNL156C	NSG2	1.35768642539435	0.064263444171262	1.83120907893195e-07	upregulated
YNL157W	IGO1	0.790402437539953	0.0523059265355361	1	unresponsive
YNL158W	PGA1	0.47581954297527	0.0544298855800282	1	unresponsive
YNL159C	ASI2	1.21613090861232	0.0597144800662638	0.00168437996768554	upregulated
YNL160W	YGP1	2.62739490083483	0.161238758976833	6.80383082149605e-23	upregulated
YNL161W	CBK1	0.0717344808056782	0.0591598897861542	1	unresponsive
YNL162W	RPL42A	-1.4276605208438	0.144263249498017	0.0161577784196753	downregulated
YNL162W-A		-2.75547913076821	0.245496082305035	7.18965415810892e-12	downregulated
YNL163C	RIA1	-1.02203829088054	0.0432553178975319	1	unresponsive
YNL164C	IBD2	-1.88031272271646	0.101180156427714	3.25915458021752e-17	downregulated
YNL165W		-0.183110050576516	0.0520624453380485	1	unresponsive
YNL166C	BNI5	-0.798740971248139	0.0809430777069615	1	unresponsive
YNL167C	SKO1	0.280582888458226	0.0680619312936225	1	unresponsive
YNL168C	FMP41	-0.363557502827988	0.0811041267600141	1	unresponsive
YNL169C	PSD1	0.276198188310104	0.123188719302134	1	unresponsive
YNL170W		-0.181980031595864	0.125792252947693	1	unresponsive
YNL171C		0.898060231210903	0.333150911806736	1	unresponsive
YNL172W	APC1	0.1860361862667	0.0800065465552763	1	unresponsive
YNL173C	MDG1	0.993109548686136	0.0603110932622496	1	unresponsive
YNL174W		-1.67560316436804	0.517291322250435	0.802241122510215	unresponsive
YNL175C	NOP13	-3.90620630452191	0.206381984708506	9.20534400567867e-44	downregulated
YNL176C	TDA7	-0.404212129027968	0.0767265525398656	1	unresponsive
YNL177C	MRPL22	0.330627618583408	0.0482520039465625	1	unresponsive
YNL178W	RPS3	-1.69620945446473	0.142487897849218	6.77694970814426e-06	downregulated
YNL179C		0.0596693183769322	0.157060809442828	1	unresponsive
YNL180C	RHO5	0.308097905558918	0.0977848884642721	1	unresponsive
YNL181W		-0.490233896970539	0.0642453059431558	1	unresponsive
YNL182C	IPI3	-3.88111843581699	0.131372200103864	6.05279956676181e-105	downregulated
YNL183C	NPR1	1.10063974094279	0.0631963301496609	0.482930063977277	unresponsive
YNL184C		-0.467961264581262	0.292394641582437	1	unresponsive
